epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1713,0.8712,0.5672,0.9167,0.4909,0.1897,0.9214,0.8417,0.8519,0.8333,0.2896,0.8438,0.6618,0.9375,0.4167
1,0.1751,0.8362,0.597,0.9231,0.5185,0.1901,0.9184,0.85,0.8148,0.8788,0.2876,0.8482,0.6912,0.9333,0.5
2,0.1466,0.888,0.7164,0.8182,0.6964,0.194,0.9181,0.85,0.7778,0.9091,0.2753,0.858,0.7353,0.8788,0.6
3,0.1621,0.897,0.7612,0.6667,0.7818,0.1961,0.9172,0.85,0.7593,0.9242,0.2776,0.8488,0.7059,0.7931,0.641
4,0.176,0.8302,0.7164,0.7857,0.6981,0.1924,0.9161,0.8417,0.7778,0.8939,0.2833,0.8435,0.7059,0.931,0.5385
5,0.1602,0.9003,0.7612,0.8462,0.7407,0.1909,0.9153,0.8583,0.8333,0.8788,0.3022,0.7856,0.6029,0.875,0.3611
6,0.1621,0.8485,0.806,0.9167,0.7818,0.1918,0.9147,0.8583,0.8148,0.8939,0.2666,0.8912,0.7206,0.9333,0.5526
7,0.1922,0.7462,0.6716,0.8667,0.6154,0.1911,0.915,0.85,0.8148,0.8788,0.2884,0.8383,0.6471,0.8889,0.4878
8,0.1881,0.7966,0.7015,0.875,0.6471,0.1897,0.9167,0.8583,0.8333,0.8788,0.2924,0.7844,0.6176,0.8571,0.3636
9,0.1725,0.8731,0.6866,0.9333,0.6154,0.1898,0.9167,0.8583,0.8333,0.8788,0.2901,0.8384,0.6176,0.8929,0.425
10,0.1453,0.9119,0.7015,1.0,0.6552,0.1922,0.9144,0.8417,0.7778,0.8939,0.2871,0.8095,0.6471,0.8182,0.4857
11,0.2024,0.7959,0.6716,0.8889,0.5918,0.1914,0.9153,0.85,0.8148,0.8788,0.2955,0.8004,0.6029,0.8148,0.4634
12,0.1815,0.8059,0.6716,0.6429,0.6792,0.1902,0.9158,0.8583,0.8333,0.8788,0.2885,0.832,0.6324,0.8889,0.4634
13,0.1711,0.8859,0.6418,1.0,0.5385,0.1904,0.9158,0.8583,0.8333,0.8788,0.2782,0.8649,0.6471,0.9333,0.4211
14,0.1691,0.8121,0.6567,0.75,0.6364,0.1905,0.9161,0.8583,0.8333,0.8788,0.2896,0.816,0.6176,0.8065,0.4595
15,0.1551,0.9397,0.7463,1.0,0.6731,0.1906,0.9155,0.8583,0.8333,0.8788,0.2799,0.8368,0.6471,0.8438,0.4722
16,0.1765,0.8321,0.7463,0.7333,0.75,0.1904,0.9155,0.8583,0.8333,0.8788,0.2862,0.8405,0.6176,0.8387,0.4324
17,0.1613,0.8827,0.7164,0.9286,0.6604,0.1906,0.9158,0.8583,0.8333,0.8788,0.2847,0.8114,0.6471,0.8235,0.4706
18,0.175,0.859,0.7164,0.9333,0.6538,0.1907,0.9155,0.8583,0.8333,0.8788,0.2916,0.8186,0.6471,0.875,0.4444
19,0.1843,0.8482,0.6716,0.8824,0.6,0.1907,0.9155,0.8583,0.8333,0.8788,0.2749,0.8502,0.6471,0.8485,0.4571
