epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.2943,0.6703,0.6071,0.9375,0.475,0.2657,0.8278,0.75,0.8654,0.6618,0.3119,0.7167,0.5789,0.7857,0.3793
1,0.2684,0.8542,0.7679,0.9,0.6944,0.2624,0.8272,0.75,0.8077,0.7059,0.2965,0.8116,0.7368,0.8929,0.5862
2,0.2628,0.7823,0.6607,0.7143,0.6429,0.2614,0.8244,0.7417,0.7308,0.75,0.3155,0.7531,0.7018,0.5556,0.8333
3,0.2606,0.7906,0.75,0.5,0.85,0.2625,0.8252,0.7417,0.7115,0.7647,0.3138,0.7765,0.6842,0.5185,0.8333
4,0.2858,0.7597,0.7143,0.5,0.8333,0.2606,0.8241,0.7583,0.7692,0.75,0.3221,0.6803,0.6316,0.6957,0.5882
5,0.2902,0.7513,0.6607,0.7083,0.625,0.2601,0.8244,0.7667,0.8077,0.7353,0.2985,0.7993,0.7018,0.7241,0.6786
6,0.2525,0.8293,0.7143,0.7333,0.7073,0.264,0.8238,0.7333,0.6731,0.7794,0.306,0.7325,0.7018,0.4545,0.8571
7,0.3159,0.6654,0.6071,0.5833,0.625,0.2598,0.8241,0.7667,0.8077,0.7353,0.3007,0.7353,0.6667,0.6522,0.6765
8,0.2782,0.7871,0.6607,0.72,0.6129,0.2602,0.8235,0.7667,0.8077,0.7353,0.2999,0.7975,0.614,0.84,0.4375
9,0.2925,0.7513,0.625,0.7727,0.5294,0.2597,0.8232,0.7667,0.8077,0.7353,0.3027,0.8173,0.7193,0.8148,0.6333
10,0.2674,0.8272,0.6964,0.7619,0.6571,0.2598,0.8241,0.7583,0.7885,0.7353,0.3123,0.7311,0.6491,0.75,0.5758
11,0.2948,0.7548,0.7143,0.8621,0.5556,0.2636,0.8249,0.7333,0.8462,0.6471,0.3091,0.8135,0.5965,1.0,0.3611
12,0.2523,0.8861,0.7143,0.85,0.6389,0.26,0.8221,0.7667,0.8077,0.7353,0.2934,0.812,0.6667,0.913,0.5
13,0.2811,0.7673,0.625,0.6667,0.6,0.2602,0.821,0.7667,0.8077,0.7353,0.3037,0.7963,0.6316,0.8519,0.4333
14,0.2523,0.8972,0.8393,0.8696,0.8182,0.2617,0.8218,0.7417,0.8077,0.6912,0.29,0.813,0.6316,0.8636,0.4857
15,0.2364,0.908,0.7857,1.0,0.6923,0.2634,0.8187,0.725,0.6731,0.7647,0.2835,0.8031,0.7895,0.7826,0.7941
16,0.2346,0.8197,0.7679,0.7143,0.7857,0.266,0.8182,0.7167,0.6538,0.7647,0.3037,0.7746,0.7368,0.7857,0.6897
17,0.2505,0.849,0.75,0.7143,0.7714,0.2661,0.8182,0.7167,0.6538,0.7647,0.3136,0.7298,0.6842,0.7083,0.6667
18,0.2824,0.7312,0.6786,0.6842,0.6757,0.2663,0.8179,0.7167,0.6538,0.7647,0.3102,0.7679,0.7368,0.7778,0.7
19,0.2764,0.7458,0.6786,0.65,0.6944,0.2675,0.8165,0.725,0.6346,0.7941,0.2899,0.8005,0.7719,0.7083,0.8182
