epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.163,0.841,0.8053,0.7368,0.8191,0.147,0.9571,0.875,0.8704,0.8788,0.2497,0.9225,0.8246,0.7115,0.9194
1,0.1764,0.8928,0.8053,0.8148,0.8023,0.1496,0.9554,0.9,0.9444,0.8636,0.251,0.9093,0.7982,0.8776,0.7385
2,0.1553,0.852,0.7168,0.7222,0.7158,0.1476,0.9554,0.8917,0.9259,0.8636,0.2476,0.9132,0.8158,0.8627,0.7778
3,0.1509,0.862,0.7434,0.7222,0.7474,0.1457,0.9545,0.875,0.8704,0.8788,0.245,0.9163,0.8158,0.75,0.871
4,0.1627,0.8676,0.7699,0.7273,0.7802,0.1459,0.954,0.875,0.8704,0.8788,0.2467,0.9091,0.8158,0.75,0.871
5,0.1646,0.7623,0.7257,0.6471,0.7396,0.1468,0.9543,0.8667,0.8519,0.8788,0.2508,0.9066,0.8158,0.75,0.871
6,0.1634,0.8626,0.7699,0.6818,0.7912,0.146,0.9548,0.8583,0.8519,0.8636,0.2399,0.9367,0.8596,0.8077,0.9032
7,0.1911,0.8489,0.7434,0.7097,0.7561,0.1543,0.9548,0.9,0.963,0.8485,0.2447,0.9303,0.7895,0.9796,0.6462
8,0.1647,0.9115,0.7168,0.871,0.6585,0.1557,0.954,0.8917,0.963,0.8333,0.2444,0.9219,0.7807,0.963,0.6167
9,0.1619,0.8895,0.6637,0.88,0.6023,0.1545,0.9534,0.8917,0.963,0.8333,0.2426,0.9244,0.7807,0.9412,0.6508
10,0.155,0.8238,0.6637,0.7333,0.6531,0.15,0.9531,0.8917,0.9444,0.8485,0.2414,0.9241,0.807,0.9216,0.7143
11,0.175,0.8286,0.6637,0.84,0.6136,0.1497,0.9531,0.8917,0.9444,0.8485,0.2425,0.9215,0.8158,0.9231,0.7258
12,0.1551,0.9058,0.708,0.9048,0.663,0.1483,0.9529,0.875,0.9074,0.8485,0.2411,0.9256,0.8158,0.902,0.746
13,0.18,0.8342,0.6814,0.7692,0.6552,0.1489,0.954,0.875,0.9074,0.8485,0.2396,0.9288,0.8246,0.96,0.7188
14,0.1574,0.8785,0.7345,0.85,0.7097,0.1483,0.9534,0.875,0.9074,0.8485,0.2446,0.9147,0.7982,0.8846,0.7258
15,0.1664,0.8877,0.708,0.92,0.6477,0.148,0.9534,0.875,0.9074,0.8485,0.2434,0.9222,0.807,0.902,0.7302
16,0.1519,0.9176,0.7257,0.9091,0.6813,0.1479,0.9531,0.875,0.9074,0.8485,0.2426,0.9172,0.8158,0.8824,0.7619
17,0.1479,0.9217,0.7788,0.8696,0.7556,0.1478,0.9529,0.875,0.8889,0.8636,0.2425,0.9144,0.807,0.8846,0.7419
18,0.1624,0.8472,0.7522,0.7727,0.7473,0.1479,0.9529,0.875,0.8889,0.8636,0.2426,0.9147,0.8158,0.8846,0.7581
19,0.1543,0.9114,0.7788,0.88,0.75,0.1479,0.9517,0.875,0.8889,0.8636,0.2405,0.9241,0.8158,0.8824,0.7619
