epoch,train_loss,train_auc,train_accuracy,train_sensitivity,train_specificity,val_loss,val_auc,val_accuracy,val_sensitivity,val_specificity,val_adv_loss,val_adv_auc,val_adv_accuracy,val_adv_sensitivity,val_adv_specificity
0,0.1633,0.8387,0.8053,0.7368,0.8191,0.1471,0.9571,0.875,0.8704,0.8788,0.2501,0.9225,0.8246,0.7115,0.9194
1,0.1767,0.8919,0.8053,0.8148,0.8023,0.1496,0.9554,0.9,0.9444,0.8636,0.2515,0.9071,0.7982,0.8776,0.7385
2,0.1557,0.8497,0.7168,0.7222,0.7158,0.1477,0.9557,0.8917,0.9259,0.8636,0.2481,0.9125,0.8158,0.8627,0.7778
3,0.1513,0.8608,0.7434,0.7222,0.7474,0.1458,0.9548,0.875,0.8704,0.8788,0.2454,0.9156,0.8158,0.75,0.871
4,0.1631,0.8661,0.7699,0.7273,0.7802,0.1459,0.954,0.875,0.8704,0.8788,0.2472,0.9079,0.8158,0.75,0.871
5,0.1649,0.7598,0.7257,0.6471,0.7396,0.1468,0.9545,0.8667,0.8519,0.8788,0.2513,0.906,0.8158,0.75,0.871
6,0.1638,0.8611,0.7699,0.6818,0.7912,0.146,0.9548,0.8583,0.8519,0.8636,0.2405,0.9352,0.8596,0.8077,0.9032
7,0.1916,0.8482,0.7434,0.7097,0.7561,0.1543,0.9548,0.9,0.963,0.8485,0.2452,0.9284,0.7895,0.9796,0.6462
8,0.1652,0.9107,0.708,0.871,0.6463,0.1557,0.9543,0.8917,0.963,0.8333,0.2449,0.921,0.7807,0.963,0.6167
9,0.1623,0.8882,0.6637,0.88,0.6023,0.1546,0.9534,0.8917,0.963,0.8333,0.2431,0.9241,0.7807,0.9412,0.6508
10,0.1554,0.8224,0.6637,0.7333,0.6531,0.15,0.9531,0.8917,0.9444,0.8485,0.2419,0.9231,0.807,0.9216,0.7143
11,0.1754,0.8273,0.6637,0.84,0.6136,0.1497,0.9531,0.8917,0.9444,0.8485,0.2431,0.9212,0.8158,0.9231,0.7258
12,0.1555,0.9053,0.708,0.9048,0.663,0.1483,0.9534,0.875,0.9074,0.8485,0.2416,0.9244,0.8158,0.902,0.746
13,0.1804,0.8324,0.6814,0.7692,0.6552,0.1489,0.954,0.8833,0.9259,0.8485,0.2402,0.9278,0.807,0.94,0.7031
14,0.1579,0.8769,0.7345,0.85,0.7097,0.1482,0.9534,0.875,0.9074,0.8485,0.2452,0.9141,0.7982,0.8846,0.7258
15,0.1668,0.8873,0.708,0.92,0.6477,0.148,0.9534,0.875,0.9074,0.8485,0.2439,0.9209,0.807,0.902,0.7302
16,0.1523,0.9166,0.7257,0.9091,0.6813,0.1479,0.9531,0.875,0.9074,0.8485,0.2432,0.9157,0.8158,0.8824,0.7619
17,0.1483,0.9213,0.7788,0.8696,0.7556,0.1478,0.9531,0.875,0.8889,0.8636,0.2431,0.9135,0.807,0.8846,0.7419
18,0.1628,0.8467,0.7434,0.7727,0.7363,0.1478,0.9529,0.875,0.8889,0.8636,0.2432,0.9138,0.8158,0.8846,0.7581
19,0.1547,0.9105,0.7788,0.88,0.75,0.1479,0.952,0.875,0.8889,0.8636,0.241,0.9234,0.8158,0.8824,0.7619
